variable,n_total,n_notna,coverage_pct,threshold_pct,status,min,max,median
dep_code,576,576,100.0,100.0,OK,1.0,95.0,48.5
dep_nom,576,576,100.0,100.0,OK,,,
reg_code,576,576,100.0,90.0,OK,11.0,94.0,53.0
annee,576,576,100.0,100.0,OK,2019.0,2024.0,2021.5
suren_depot_nb,576,576,100.0,90.0,OK,62.0,8848.0,1018.5
suren_depot_taux,576,576,100.0,90.0,OK,8.104,38.742,18.727
revenu_median_uc,576,576,100.0,90.0,OK,21250.0,33790.0,25140.0
taux_pauvrete,576,576,100.0,90.0,OK,9.2,29.5,15.6
interdecile_d9d1,576,576,100.0,90.0,OK,2.5,6.7,3.1
gini,576,576,100.0,0.0,OK,0.225,0.451,0.26
chomage_taux,576,576,100.0,90.0,OK,4.2,12.0,6.75
chomage_taux_t1,576,480,83.3,50.0,OK,4.2,12.0,6.75
rsa_taux,576,576,100.0,50.0,OK,8.792,54.545,23.753
prime_activite_taux,576,576,100.0,50.0,OK,40.867,95.159,71.247
ass_aspa_taux,576,576,100.0,50.0,OK,1.752,8.949,3.946
population_mun,576,576,100.0,90.0,OK,76503.0,2616909.0,543119.5
part_locataires,576,576,100.0,90.0,OK,23.8,61.87,36.27
part_hlm,576,576,100.0,90.0,OK,4.45,31.39,11.88
taux_surpeuplement,576,576,100.0,90.0,OK,2.58,31.36,5.245
part_familles_mono,576,576,100.0,90.0,OK,6.57,15.37,9.06
part_menages_1pers,576,576,100.0,90.0,OK,31.55,53.11,38.945
part_25_54,576,576,100.0,90.0,OK,31.15,44.46,35.245
part_65plus,576,576,100.0,90.0,OK,12.4,31.46,23.22
taux_pauvrete_t1,576,480,83.3,50.0,OK,9.2,29.5,15.6
score_fragilite,576,576,100.0,50.0,OK,-1.656,3.455,-0.076
source_url,576,576,100.0,90.0,OK,,,
source_millesime,576,576,100.0,90.0,OK,2019.0,2024.0,2021.5
