dep_code,gini,source_url,source_millesime
01,0.312,https://www.insee.fr/fr/statistiques/8984752,2023
02,0.259,https://www.insee.fr/fr/statistiques/8984752,2023
03,0.251,https://www.insee.fr/fr/statistiques/8984752,2023
04,0.275,https://www.insee.fr/fr/statistiques/8984752,2023
05,0.254,https://www.insee.fr/fr/statistiques/8984752,2023
06,0.322,https://www.insee.fr/fr/statistiques/8984752,2023
07,0.251,https://www.insee.fr/fr/statistiques/8984752,2023
08,0.26,https://www.insee.fr/fr/statistiques/8984752,2023
09,0.256,https://www.insee.fr/fr/statistiques/8984752,2023
10,0.277,https://www.insee.fr/fr/statistiques/8984752,2023
11,0.266,https://www.insee.fr/fr/statistiques/8984752,2023
12,0.25,https://www.insee.fr/fr/statistiques/8984752,2023
13,0.325,https://www.insee.fr/fr/statistiques/8984752,2023
14,0.262,https://www.insee.fr/fr/statistiques/8984752,2023
15,0.24,https://www.insee.fr/fr/statistiques/8984752,2023
16,0.256,https://www.insee.fr/fr/statistiques/8984752,2023
17,0.262,https://www.insee.fr/fr/statistiques/8984752,2023
18,0.252,https://www.insee.fr/fr/statistiques/8984752,2023
19,0.247,https://www.insee.fr/fr/statistiques/8984752,2023
21,0.267,https://www.insee.fr/fr/statistiques/8984752,2023
22,0.242,https://www.insee.fr/fr/statistiques/8984752,2023
23,0.253,https://www.insee.fr/fr/statistiques/8984752,2023
24,0.256,https://www.insee.fr/fr/statistiques/8984752,2023
25,0.281,https://www.insee.fr/fr/statistiques/8984752,2023
26,0.266,https://www.insee.fr/fr/statistiques/8984752,2023
27,0.246,https://www.insee.fr/fr/statistiques/8984752,2023
28,0.25,https://www.insee.fr/fr/statistiques/8984752,2023
29,0.245,https://www.insee.fr/fr/statistiques/8984752,2023
2A,0.315,https://www.insee.fr/fr/statistiques/8984752,2023
2B,0.31,https://www.insee.fr/fr/statistiques/8984752,2023
30,0.281,https://www.insee.fr/fr/statistiques/8984752,2023
31,0.289,https://www.insee.fr/fr/statistiques/8984752,2023
32,0.26,https://www.insee.fr/fr/statistiques/8984752,2023
33,0.282,https://www.insee.fr/fr/statistiques/8984752,2023
34,0.298,https://www.insee.fr/fr/statistiques/8984752,2023
35,0.258,https://www.insee.fr/fr/statistiques/8984752,2023
36,0.242,https://www.insee.fr/fr/statistiques/8984752,2023
37,0.263,https://www.insee.fr/fr/statistiques/8984752,2023
