dep_code,annee,rsa_taux,prime_activite_taux,ass_aspa_taux,rsa_nb,ass_nb,prime_activite_nb,source_url,source_millesime
01,2019,11.456,50.321,2.488,7690.0,1670.0,33780.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
02,2019,34.497,75.52,8.848,18130.0,4650.0,39690.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
03,2019,30.294,73.465,6.961,10140.0,2330.0,24590.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
04,2019,26.08,72.677,5.742,4360.0,960.0,12150.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
05,2019,21.316,73.689,3.882,3020.0,550.0,10440.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
06,2019,20.689,64.087,4.988,23060.0,5560.0,71430.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
07,2019,19.806,70.102,6.152,6600.0,2050.0,23360.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
08,2019,39.595,73.539,8.346,10580.0,2230.0,19650.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
09,2019,41.007,78.667,7.532,6370.0,1170.0,12220.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
10,2019,30.989,72.812,7.329,9640.0,2280.0,22650.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
11,2019,42.936,80.63,8.312,16220.0,3140.0,30460.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
12,2019,15.586,69.387,3.789,4360.0,1060.0,19410.0,https://data.drees.solidarites-sante.gouv.fr/explore/dataset/donnees-mensuelles-sur-les-prestations-de-solidarite/,2019-2024
