"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable";
"CONF_STATUS";"Statut de confidentialité";"C";"Confidentiel (secret statistique)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D1_SL";"1er décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D2_SL";"2e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D3_SL";"3e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D4_SL";"4e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D6_SL";"6e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D7_SL";"7e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D8_SL";"8e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"D9_SL";"9e décile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"GI_SL";"Indice de Gini du niveau de vie";
"FILOSOFI_MEASURE";"Mesures filosofi";"IQR_SL";"Ecart interquartile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"IR_D9_D1_SL";"Rapport interdécile (D9/D1) du niveau de vie";
"FILOSOFI_MEASURE";"Mesures filosofi";"MED_SL";"Niveau de vie médian (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"PR_MD60";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";
"FILOSOFI_MEASURE";"Mesures filosofi";"Q1_SL";"1er quartile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"Q3_SL";"3e quartile du niveau de vie (en euros)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_DIR_TAX_DI";"Part des impôts directs dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_EI_DI";"Part des revenus d’activité dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_EI_DI_N_SAL";"Part des revenus des activités non salariées dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_EI_DI_SAL";"Part des salaires dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_EI_DI_UNE";"Part des indemnités de chômage dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_INC_ASS_DI";"Part des revenus du patrimoine et autres revenus dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_RET_PEN_DI";"Part des pensions, retraites et rentes dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_SOC_BEN_DI";"Part de l’ensemble des prestations sociales dans le revenu disponible (en %)";
"FILOSOFI_MEASURE";"Mesures filosofi";"S_SOC_BEN_DI_FAM_BEN";"Part des prestations familiales dans le revenu disponible (en %)";
