CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
001;5358817;12671108;25060;63,7;15,8;20,0;16,3;17,9;15,9;13,4;10,4;5,6;26,8;85,8;77,6;3,1;5,1;20,6;11,1;4,4;1,7;1,8;0,9;-21,9;11570;49910;4,3
002;951796;2176288;24680;58,9;13,8;21,0;14,9;15,7;13,3;9,9;9,1;5,0;27,0;79,6;72,0;3,0;4,6;23,2;10,4;5,0;2,0;2,0;1,0;-18,2;12410;44320;3,6
003;794831;1752628;23200;53,9;18,2;27,2;21,0;20,0;18,2;14,2;13,0;6,2;32,8;74,0;64,6;3,2;6,2;27,0;10,6;6,2;1,9;3,0;1,3;-17,8;11040;42300;3,8
004;615974;1427296;22490;51,7;17,8;28,2;19,4;19,5;17,1;12,9;11,7;6,3;35,2;77,9;69,7;2,9;5,3;23,3;8,6;6,8;2,3;3,1;1,4;-16,6;11350;40550;3,6
005;638685;1401752;24360;56,9;13,7;25,5;14,6;13,7;12,2;10,3;11,0;5,0;27,6;80,8;72,1;3,2;5,5;22,4;8,9;5,4;1,8;2,4;1,2;-17,5;12420;42340;3,4
006;612229;1349517;24460;57,6;12,1;22,0;13,0;12,5;11,2;9,2;8,9;5,0;23,5;78,8;69,7;3,2;5,9;25,4;8,4;4,8;1,6;2,2;1,0;-17,4;12990;41970;3,2
008;432259;980091;24670;57,7;10,4;18,5;11,2;10,6;9,5;7,9;8,1;5,0;25,1;80,9;73,2;3,0;4,7;22,8;8,2;4,8;1,9;2,0;0,9;-16,7;13680;40990;3,0
010;358644;800130;23930;56,6;14,9;23,7;17,7;18,3;13,8;10,1;8,5;5,0;28,4;76,6;68,6;2,8;5,2;26,6;9,0;5,1;1,8;2,2;1,1;-17,3;12010;42150;3,5
012;353334;757059;22860;51,9;17,3;30,4;18,2;19,0;16,6;13,4;11,9;7,1;31,3;74,0;63,5;3,5;7,0;27,1;9,6;6,3;1,9;3,0;1,4;-17,0;11370;41040;3,6
013;321364;731549;24220;55,8;10,9;21,9;12,2;11,2;9,1;7,2;7,7;5,0;26,2;80,3;72,6;2,8;4,9;22,8;8,2;5,1;2,0;2,1;1,0;-16,4;13480;40150;3,0
014;308548;678895;24790;58,8;12,2;22,9;14,3;13,4;11,0;8,3;8,5;5,0;26,7;76,3;69,3;2,6;4,4;27,1;9,3;4,5;1,7;1,9;0,9;-17,2;12970;42580;3,3
015;298954;662781;22800;52,6;15,0;25,0;17,2;17,0;14,2;10,5;8,6;5,0;30,6;74,4;66,8;2,6;5,0;28,4;6,6;6,3;2,2;2,8;1,3;-15,7;12120;38570;3,2
017;296659;613399;23140;54,2;17,4;25,8;19,6;19,4;16,5;14,7;14,0;8,5;28,9;72,8;62,4;3,3;7,1;28,6;11,7;5,2;1,5;2,6;1,1;-18,3;11160;43180;3,9
018;267078;552098;23130;53,0;15,7;22,7;18,6;18,2;15,4;13,0;11,2;6,6;28,6;65,4;56,1;2,9;6,4;35,2;10,2;5,8;1,6;3,0;1,2;-16,6;11890;39960;3,4
019;226584;489411;23390;53,9;12,6;22,6;14,9;13,6;11,7;9,0;8,6;5,0;28,4;72,7;65,3;2,8;4,6;30,0;8,3;5,0;1,8;2,2;1,0;-16,0;12830;39360;3,1
020;219269;467176;23220;53,7;14,6;27,6;17,6;16,4;12,9;9,7;8,5;5,0;31,6;73,7;65,5;2,4;5,8;29,4;7,4;5,9;1,9;2,7;1,3;-16,4;12150;39410;3,2
022;224981;476365;23800;55,2;12,9;26,0;14,4;13,3;12,2;9,2;8,8;5,0;29,4;73,3;66,0;2,4;4,9;29,5;8,7;4,9;1,7;2,2;1,0;-16,4;12660;39980;3,2
023;213190;476103;21980;47,9;17,1;27,7;20,0;20,0;16,1;11,4;11,2;6,1;34,8;70,4;62,7;2,8;4,9;29,7;7,9;6,7;2,4;2,9;1,4;-14,7;11570;36750;3,2
024;204053;449569;23310;54,2;11,9;21,3;14,2;12,8;11,1;8,3;7,5;5,0;25,6;72,7;64,8;2,7;5,2;29,7;8,1;5,2;1,9;2,2;1,1;-15,7;13140;38630;2,9
025;192261;437854;23800;58,0;12,8;20,7;15,7;14,9;11,6;8,4;6,9;5,0;28,6;75,5;68,8;2,6;4,1;28,2;7,5;5,1;2,1;2,0;1,0;-16,3;12830;39530;3,1
026;183877;415796;23170;51,7;11,9;21,8;14,1;12,8;10,3;8,5;8,0;5,0;26,9;74,0;66,0;2,8;5,2;28,0;8,0;5,4;2,1;2,2;1,1;-15,4;13110;38460;2,9
028;177590;378614;24010;57,3;11,8;22,1;13,5;13,2;10,9;8,0;7,2;5,0;26,7;73,9;66,0;2,4;5,5;29,6;8,3;4,8;1,7;2,1;1,0;-16,6;13180;40030;3,0
029;175109;397693;23050;53,4;16,6;24,5;20,7;20,8;15,3;11,1;9,1;6,1;33,1;75,9;68,5;3,4;4,0;28,1;6,9;5,6;2,0;2,4;1,2;-16,5;11660;42450;3,6
