CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
011;53160;121717;23850;55,6;10,1;14,1;12,2;10,9;9,0;8,0;8,5;5,1;21,7;74,5;67,4;2,9;4,2;27,8;8,2;4,5;2,0;1,7;0,8;-15,0;13790;38880;2,8
012;141985;333709;24600;57,5;9,1;14,4;10,6;10,0;8,3;6,7;7,7;5,0;21,9;75,4;68,3;2,6;4,5;26,9;9,3;4,2;2,0;1,5;0,7;-15,8;14230;40120;2,8
013;36629;86611;38250;52,4;12,4;13,5;10,6;12,9;14,7;12,1;8,2;8,0;19,7;93,2;88,1;2,9;2,2;16,4;6,7;1,3;0,5;0,5;0,3;-17,6;12020;86820;7,2
014;38364;89835;22410;49,1;16,3;19,9;17,6;20,4;15,0;12,7;10,8;6,0;31,7;75,2;68,4;3,6;3,2;25,9;8,1;5,1;2,2;1,9;1,0;-14,3;11870;39730;3,3
021;28912;67594;22130;51,5;14,6;23,3;18,1;16,1;14,1;10,5;8,5;7,3;31,6;73,1;62,6;3,3;7,2;28,3;7,8;5,9;2,4;2,4;1,1;-15,1;12360;35860;2,9
022;65692;147178;20890;44,8;18,6;31,3;22,9;20,8;17,7;13,0;10,7;8,2;37,8;68,3;60,5;3,0;4,8;31,3;6,0;7,7;2,6;3,6;1,5;-13,3;11300;34000;3,0
023;54898;121978;20460;44,2;20,7;34,3;26,7;23,9;19,2;14,1;10,5;8,1;40,5;67,2;58,4;2,9;5,9;31,1;7,1;8,6;2,6;4,2;1,8;-14,0;10840;34910;3,2
024;45448;103899;21500;47,3;16,7;24,6;20,4;19,4;15,7;12,8;9,8;6,7;33,2;70,0;62,2;3,1;4,7;29,3;7,9;6,8;2,5;3,0;1,3;-14,0;11710;35480;3,0
025;29542;65979;19420;38,5;23,2;34,6;28,3;25,9;22,5;17,7;15,0;13,0;44,1;63,3;53,7;2,8;6,8;31,9;8,1;9,1;2,8;4,5;1,8;-12,4;10570;31970;3,0
031;50907;102088;21200;44,5;17,3;29,2;23,2;19,7;17,0;12,5;12,2;9,3;36,6;60,4;52,2;2,5;5,7;38,1;8,1;6,8;1,8;3,6;1,4;-13,4;11510;34240;3,0
032;35513;72754;21990;47,3;15,2;22,4;19,1;17,7;14,9;11,2;10,9;7,3;31,2;63,0;54,8;2,2;6,0;35,8;8,5;6,5;1,9;3,3;1,3;-13,8;12080;35510;2,9
033;73621;148641;21490;45,0;15,9;23,0;19,3;17,8;16,1;12,4;12,9;9,1;32,0;61,4;53,0;2,6;5,8;37,4;9,0;6,1;1,7;3,2;1,2;-13,9;11880;35410;3,0
