CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
01001;346;895;25820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01002;115;266;24480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01004;6855;15092;21660;50,0;17,0;17,0;22,0;19,0;16,0;11,0;s;5,0;27,0;72,3;65,7;3,2;3,4;25,3;10,2;7,0;2,6;3,0;1,4;-14,8;11890;36450;3,1
01005;800;2028;24610;61,0;s;s;s;s;s;s;s;s;s;81,5;74,9;2,3;4,3;21,4;10,0;3,4;2,1;0,9;0,4;-16,3;15560;40580;2,6
01006;51;107;24210;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01007;1184;2874;24860;60,0;s;s;s;s;s;s;s;s;s;77,2;72,7;2,4;2,1;26,2;7,2;4,2;2,1;1,4;0,7;-14,8;15170;39460;2,6
01008;326;753;26300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01009;157;380;24810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01010;481;1122;24700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01011;161;405;24530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01012;144;324;24270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01013;67;127;22180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01014;1361;3438;22410;51,0;13,0;s;s;s;s;s;s;s;29,0;69,8;64,6;3,2;2,0;29,0;11,5;4,8;2,2;1,8;0,8;-15,1;12790;38770;3,0
01015;313;734;23800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01016;187;473;23080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01017;194;419;20790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01019;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01021;565;1423;26430;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01022;574;1158;22000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01023;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01024;1406;3395;24460;60,0;7,0;s;s;s;s;s;s;s;s;78,1;71,5;2,6;4,0;25,8;7,0;4,0;2,2;1,2;0,6;-14,9;15300;37690;2,5
01025;1628;4204;24880;58,0;6,0;s;s;s;s;s;s;s;s;79,4;71,8;2,3;5,3;23,0;9,4;3,6;2,0;1,2;0,4;-15,4;16110;37730;2,3
01026;434;942;22860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01027;712;1899;25770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01028;227;598;25520;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01029;274;652;21350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01030;364;826;24240;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01031;1479;3238;20550;44,0;20,0;s;s;30,0;s;s;s;s;34,0;65,9;60,2;3,9;1,8;32,8;8,3;7,0;2,7;2,8;1,5;-14,0;11210;35500;3,2
01032;1184;3117;23060;56,0;8,0;s;s;s;s;s;s;s;s;77,8;71,9;3,3;2,6;23,7;8,1;5,2;3,2;1,3;0,7;-14,8;14460;38290;2,6
01033;6545;14862;23780;46,0;17,0;20,0;18,0;21,0;17,0;14,0;s;7,0;31,0;80,9;74,6;4,1;2,2;23,1;5,5;4,4;1,7;1,8;0,9;-13,9;11090;48750;4,4
01034;4073;8591;21180;48,0;18,0;s;28,0;22,0;16,0;14,0;s;7,0;29,0;64,6;57,4;3,1;4,1;34,7;8,1;6,9;2,3;3,2;1,4;-14,3;11510;36260;3,2
01035;145;321;26160;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01036;592;1302;23820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01037;126;285;21770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01038;321;776;24250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01040;195;516;23440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01041;336;747;25150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01042;126;305;25520;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01043;1963;5041;28730;70,0;6,0;s;s;s;s;s;s;s;s;82,1;75,1;2,0;5,0;24,9;9,3;2,7;1,5;0,8;0,4;-19,0;17010;49170;2,9
01044;276;616;28550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01045;106;278;28180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01046;354;873;24260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01047;484;1277;27110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01049;1279;3396;26780;65,0;s;s;s;s;s;s;s;s;s;81,5;74,0;2,6;4,9;24,1;8,0;3,3;1,9;0,9;0,5;-16,9;15940;43540;2,7
01050;136;359;23180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01051;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01052;126;316;27630;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01053;18870;37019;20210;46,0;24,0;30,0;32,0;28,0;23,0;17,0;12,0;6,0;35,0;65,3;58,7;3,2;3,4;33,2;7,8;8,3;2,5;4,0;1,8;-14,6;10440;35770;3,4
01054;573;1571;27320;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01056;150;343;21640;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01057;204;468;24300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01058;344;801;23420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01060;244;548;24970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01061;460;1183;25110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01062;374;988;28710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01063;246;574;25400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01064;470;1135;23440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01065;794;1985;26810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01066;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01067;103;245;25900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01068;334;734;21410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01069;671;1583;25570;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01071;1961;4845;42540;63,0;7,0;s;s;s;s;s;s;s;s;97,0;90,6;3,0;3,4;14,5;6,5;1,0;0,4;0,4;0,2;-19,0;16720;86560;5,2
