CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
01;270138;631871;24810;55,2;10,8;15,0;11,8;12,1;10,3;8,4;8,3;5,0;23,3;79,1;72,5;2,8;3,8;24,7;8,3;3,8;1,7;1,4;0,7;-15,9;13510;46760;3,5
02;224492;506628;20920;45,2;18,8;30,4;23,3;21,2;17,7;13,6;10,8;8,4;37,6;68,4;59,8;3,0;5,6;30,5;7,2;7,7;2,6;3,6;1,5;-13,8;11270;34550;3,1
03;160041;323483;21500;45,3;16,2;24,8;20,5;18,3;16,1;12,2;12,2;8,8;33,2;61,5;53,2;2,5;5,8;37,3;8,4;6,5;1,8;3,4;1,3;-13,7;11800;35060;3,0
04;72855;146996;21790;47,3;17,1;24,2;20,7;20,1;17,2;13,8;12,9;9,6;30,1;59,9;50,4;3,1;6,4;36,4;12,7;5,5;1,6;2,7;1,2;-14,5;11560;36950;3,2
05;65683;132943;22010;49,3;14,7;22,0;17,4;16,9;14,7;11,4;11,2;8,8;25,4;63,0;52,6;3,5;6,9;36,2;10,0;5,2;1,7;2,5;1,0;-14,4;12250;36560;3,0
06;536880;1107426;23460;55,2;16,4;23,1;18,2;18,3;15,8;14,2;13,5;8,5;27,1;72,3;62,4;3,3;6,6;28,9;12,8;4,7;1,4;2,3;1,0;-18,7;11450;43720;3,8
07;145192;308665;21990;47,3;14,9;21,2;18,5;17,5;14,5;11,4;11,0;8,5;30,8;64,7;56,1;3,1;5,5;34,4;9,6;5,4;1,9;2,4;1,1;-14,1;12150;36090;3,0
08;118500;257263;20850;43,5;19,4;30,5;23,7;21,4;17,7;14,8;13,8;9,2;37,6;66,4;57,8;2,6;6,0;31,3;8,1;7,6;2,3;3,7;1,6;-13,4;11140;34550;3,1
09;72066;147324;20820;43,3;19,0;26,8;23,7;22,1;18,5;15,0;14,4;12,1;34,5;61,0;51,7;3,2;6,1;36,8;8,1;7,2;1,9;3,8;1,5;-13,1;11110;34340;3,1
10;132991;284909;21530;47,7;16,9;27,2;21,3;19,8;15,9;11,8;9,5;6,7;34,5;68,7;58,5;2,8;7,4;30,9;8,8;6,7;2,2;3,1;1,4;-15,1;11680;36690;3,1
11;171836;354227;20510;42,2;20,8;31,6;26,1;23,6;20,9;16,1;15,7;11,6;37,6;60,0;50,3;3,3;6,4;37,0;8,6;7,9;2,1;4,2;1,6;-13,5;10780;34670;3,2
12;126764;262820;21860;45,6;14,5;20,6;16,5;15,7;13,5;11,5;14,7;9,5;28,7;62,8;52,5;2,3;8,0;35,1;10,7;5,2;1,7;2,5;1,0;-13,8;12380;35870;2,9
13;869140;1918919;22920;53,2;18,5;27,0;21,0;20,5;18,5;14,7;13,4;6,4;32,9;73,7;64,3;3,2;6,2;27,0;10,5;6,4;2,0;3,0;1,4;-17,6;11010;41790;3,8
14;307659;665150;22840;52,1;12,5;20,8;14,9;13,5;12,1;9,2;8,6;5,3;25,6;69,8;61,5;2,7;5,6;31,7;9,0;5,1;1,8;2,3;1,0;-15,6;12960;38150;2,9
