CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
200000172;11738;27407;26980;59,5;8,9;s;7,9;10,8;7,9;7,8;9,8;5,0;17,5;85,9;78,9;3,6;3,4;19,3;7,3;2,8;1,3;1,0;0,5;-15,3;14510;51450;3,5
200000438;14852;36105;22790;50,6;7,9;9,0;6,5;7,5;8,4;7,9;11,2;5,7;19,0;76,3;70,4;2,9;3,0;26,7;5,2;4,8;2,5;1,7;0,6;-13,0;14670;33030;2,3
200000545;8390;18183;18730;39,4;26,2;36,2;33,3;34,9;26,3;16,6;11,3;13,9;42,5;60,7;54,2;3,5;3,0;35,7;5,1;10,4;3,3;4,9;2,2;-11,9;10090;30750;3,0
200000628;10531;24862;20750;46,0;21,2;27,1;23,7;24,7;21,1;18,9;12,7;11,1;39,1;68,3;61,0;3,6;3,7;30,6;7,3;7,3;2,7;3,2;1,4;-13,5;10890;34730;3,2
200000800;4619;9714;22630;50,9;10,4;s;14,7;12,2;s;s;s;5,0;24,6;65,3;57,7;2,5;5,1;37,7;7,2;4,3;1,6;2,0;0,7;-14,5;13690;36490;2,7
200000925;8797;21821;24930;60,1;5,9;s;5,0;6,5;6,0;5,2;s;5,0;20,1;79,1;73,2;2,1;3,8;26,6;5,4;3,7;1,9;1,3;0,5;-14,8;15990;36720;2,3
200000933;6875;13790;21780;47,4;13,0;s;16,0;14,4;13,2;10,4;10,9;7,1;26,7;59,4;51,5;2,7;5,2;39,6;9,4;5,1;1,6;2,5;1,0;-13,5;12780;34920;2,7
200004802;12550;28992;24370;55,8;14,8;22,8;16,1;15,6;14,4;13,5;12,7;10,0;29,4;69,5;58,4;3,3;7,8;32,0;12,1;3,7;1,5;1,6;0,6;-17,3;12120;42810;3,5
200005932;6661;15398;25770;62,3;6,9;s;7,6;7,7;6,4;s;s;5,0;19,0;73,6;68,0;2,1;3,5;31,0;9,8;3,1;1,5;1,1;0,5;-17,5;15230;41800;2,7
200005957;5359;12030;20840;41,5;18,9;28,9;24,7;23,1;15,3;13,9;s;9,2;42,2;66,5;58,1;2,9;5,5;31,4;7,6;7,3;2,6;3,3;1,4;-12,8;11290;34030;3,0
200006682;22576;48496;24320;57,3;9,7;14,2;9,5;11,1;9,2;8,4;8,2;5,0;21,3;71,4;59,6;2,4;9,4;28,5;14,6;3,5;1,4;1,5;0,6;-18,0;14010;43450;3,1
200006716;6791;15329;22110;51,8;14,5;s;16,1;19,5;12,5;11,0;s;6,7;28,3;72,7;64,3;2,6;5,8;28,8;7,9;5,9;2,4;2,5;1,0;-15,3;12340;37110;3,0
200006930;2281;4480;20970;43,4;16,4;s;s;s;s;s;s;11,8;28,8;58,9;49,6;2,2;7,1;39,2;9,0;5,5;1,6;2,9;1,0;-12,6;11550;33820;2,9
200006971;8515;17190;21910;49,3;14,8;25,8;17,9;19,2;15,7;10,0;8,7;6,6;32,1;60,1;51,7;2,6;5,8;40,0;8,1;5,7;1,9;2,7;1,1;-13,9;12270;34840;2,8
200007052;2723;5156;19470;35,0;20,5;s;s;s;21,5;18,0;22,5;17,7;33,0;51,4;40,2;2,6;8,6;46,6;9,2;4,7;1,2;2,7;0,8;-11,9;11210;31550;2,8
200007177;2110;4468;20640;41,5;16,9;s;s;s;s;s;s;12,0;32,5;60,3;51,4;2,6;6,3;38,4;6,6;7,1;2,4;3,6;1,1;-12,4;11630;32490;2,8
200010650;24938;53465;22610;51,3;13,7;20,7;17,4;16,7;12,6;9,7;8,7;5,3;29,7;67,9;61,0;2,3;4,6;33,5;7,7;5,8;2,0;2,7;1,1;-14,9;12610;36890;2,9
200010700;32212;76168;22550;50,7;12,2;19,3;14,3;13,0;11,8;8,4;9,5;5,0;28,1;74,2;68,1;2,5;3,6;28,7;5,4;5,9;2,4;2,5;1,0;-14,2;13140;36140;2,8
200011773;35607;75642;27700;43,7;17,0;19,9;16,8;19,0;16,5;16,2;12,3;6,6;28,4;85,0;78,2;4,1;2,7;20,2;6,5;3,0;1,0;1,3;0,7;-14,7;10920;67250;6,2
200011781;4424;9358;21550;45,4;14,5;s;17,3;16,7;13,8;11,6;s;9,4;35,7;65,0;56,6;2,5;5,9;36,3;5,7;5,8;2,0;2,9;0,9;-12,8;12230;32890;2,7
200013050;7115;16937;25250;60,6;6,4;s;8,0;6,5;5,8;5,0;s;5,0;18,4;75,1;68,5;2,1;4,5;30,7;6,7;2,7;1,4;1,0;0,3;-15,2;15670;38950;2,5
200015162;2219;4446;19620;40,7;26,8;s;s;35,0;24,6;23,1;24,1;17,6;39,0;61,6;47,6;2,6;11,4;36,8;9,3;7,7;1,4;4,9;1,4;-15,4;9940;35840;3,6
200016905;3113;6268;19550;36,2;20,6;s;29,9;24,5;21,0;13,9;s;15,6;36,3;56,6;46,4;3,5;6,7;39,7;8,7;6,5;1,7;3,5;1,3;-11,5;11090;32050;2,9
200017341;7149;14979;19480;37,3;24,4;29,7;29,2;27,3;25,0;21,1;16,9;14,6;40,6;61,4;50,7;4,0;6,7;33,9;7,6;9,3;2,4;4,9;2,0;-12,2;9940;32940;3,3
200017846;22047;54268;23480;58,7;12,9;16,6;15,5;14,9;12,4;9,3;7,0;5,6;28,5;78,9;72,3;2,8;3,8;24,4;7,3;5,4;2,5;2,1;0,8;-16,0;12800;37940;3,0
200018083;8936;22517;21430;45,6;14,5;23,4;15,7;14,4;13,1;11,6;15,7;7,8;32,7;72,9;64,5;2,3;6,1;25,9;8,4;6,2;2,7;2,5;1,0;-13,4;12620;34430;2,7
200018166;42382;101808;28050;67,0;5,6;9,9;6,3;5,4;5,5;5,0;5,2;5,0;14,5;80,3;72,9;2,3;5,1;25,9;10,5;2,6;1,3;0,9;0,4;-19,3;16260;48440;3,0
200018406;15278;32566;21540;47,8;16,4;22,2;22,5;21,6;16,6;10,3;10,1;8,7;34,6;62,0;55,6;2,8;3,6;38,7;6,4;6,3;2,0;3,1;1,2;-13,4;11770;34620;2,9
200018521;2783;5786;21290;41,7;13,8;s;s;s;s;s;s;10,6;29,3;63,2;54,2;2,7;6,3;36,7;7,6;5,1;1,7;2,6;0,8;-12,6;12290;32520;2,6
200022986;20426;50229;27950;65,2;7,1;18,0;8,1;7,6;6,7;5,5;6,2;5,0;17,0;76,6;65,2;2,6;8,8;28,7;12,0;2,9;1,3;1,1;0,5;-20,2;15360;50190;3,3
200023075;8073;17887;28820;63,6;7,2;s;6,7;5,4;6,3;9,3;s;5,0;18,0;90,7;82,4;3,8;4,5;20,4;5,3;2,4;1,0;1,0;0,4;-18,8;15250;50830;3,3
200023125;17335;43050;27270;69,9;8,9;16,5;11,0;10,7;7,4;6,5;s;5,0;23,0;81,6;75,3;2,6;3,7;25,6;9,0;3,4;1,6;1,3;0,5;-19,6;14350;45520;3,2
200023240;12479;29146;22970;54,9;14,7;23,1;18,9;19,9;12,9;9,2;7,5;6,3;30,4;71,8;64,3;3,1;4,4;30,1;8,0;5,8;2,3;2,5;1,0;-15,7;12220;37920;3,1
