CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
200057867;154825;409354;16560;40,9;36,2;35,4;34,5;41,1;38,4;31,7;27,0;17,3;42,9;81,9;74,1;5,0;2,8;15,1;3,2;13,2;4,3;5,9;3,0;-13,4;8260;31610;3,8
200057875;169203;414980;19340;50,8;27,7;27,6;26,5;31,3;29,5;24,5;20,1;11,6;36,4;85,2;75,8;5,1;4,3;16,5;5,5;9,1;3,0;4,2;1,9;-16,3;9350;38210;4,1
200057941;222968;505623;28570;69,4;12,1;17,5;12,4;12,8;12,5;10,6;8,1;5,0;21,6;88,5;79,1;2,9;6,5;20,6;11,1;3,3;1,2;1,4;0,7;-23,5;12780;56120;4,4
200057966;171143;384918;29120;70,8;11,0;16,7;11,2;12,2;10,3;9,7;7,5;5,0;19,1;90,3;83,2;2,7;4,4;20,9;8,7;3,3;1,2;1,4;0,7;-23,2;13340;55100;4,1
200057974;140972;305753;33490;75,0;9,1;15,7;8,0;9,3;8,7;8,8;7,2;5,0;15,5;93,1;84,7;2,8;5,6;19,0;13,4;1,9;0,7;0,8;0,4;-27,4;14430;69030;4,8
200057982;244193;551234;31980;72,7;11,2;16,0;10,0;11,4;11,5;11,1;9,2;5,0;18,4;92,6;83,7;2,8;6,1;17,0;16,3;2,3;0,8;1,0;0,5;-28,2;13230;70620;5,3
200057990;181302;438859;22460;58,6;21,2;20,6;19,1;23,8;22,3;19,6;19,2;7,8;30,8;92,1;84,2;3,9;4,0;15,8;6,3;6,0;2,2;2,5;1,3;-20,2;10290;47290;4,6
200058006;124186;306477;23710;61,1;16,6;23,0;17,6;18,9;16,3;13,5;11,1;5,8;27,5;83,7;76,5;3,2;4,0;21,9;6,8;5,9;2,3;2,4;1,2;-18,3;11470;42250;3,7
200058014;282844;685817;21860;57,4;20,9;25,4;21,9;24,3;21,3;16,6;11,8;6,9;31,0;84,5;77,9;3,5;3,1;20,2;5,6;6,8;2,5;2,8;1,5;-17,1;10370;39940;3,9
200058097;127063;353715;18490;46,2;28,9;31,4;31,5;34,3;28,8;22,8;18,1;14,7;40,5;78,2;71,6;4,1;2,5;20,2;4,5;10,8;4,2;4,5;2,1;-13,7;9250;32890;3,6
200058790;152874;385537;22360;58,5;20,2;25,6;22,5;23,3;19,8;15,1;11,9;8,3;33,8;83,5;76,4;3,5;3,6;20,3;6,7;6,8;2,7;2,8;1,3;-17,3;10610;39950;3,8
