CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
00151;952;2304;22000;47,3;11,7;s;s;s;s;s;s;s;s;73,2;65,6;2,7;4,9;27,4;5,6;6,2;2,6;2,8;0,8;-12,4;12570;33360;2,7
00152;1065;2127;18470;37,3;25,8;s;s;s;s;s;s;19,5;37,2;54,0;43,3;3,7;7,0;40,3;10,4;7,8;2,0;4,3;1,5;-12,5;9480;33700;3,6
00153;987;2422;24940;60,8;s;s;s;s;s;s;s;s;s;77,4;70,8;2,1;4,5;25,1;9,4;3,8;2,0;1,2;0,6;-15,7;15370;38110;2,5
00154;1169;2262;20590;43,1;18,6;s;s;s;s;s;s;s;30,9;59,6;51,1;2,8;5,7;38,0;8,4;7,1;1,8;3,9;1,4;-13,1;11360;33340;2,9
00155;996;2527;24940;59,9;8,5;s;s;s;s;s;s;s;s;74,1;67,5;1,7;4,9;31,8;6,0;3,3;1,7;1,2;0,4;-15,2;14770;39450;2,7
00156;1221;2436;21500;48,1;14,4;s;s;s;s;s;s;s;36,2;51,5;43,8;3,5;4,2;48,6;6,5;5,1;1,7;2,4;1,0;-11,7;12290;31710;2,6
00157;1285;2801;21000;45,8;14,6;s;s;s;s;s;s;s;34,9;67,6;61,3;2,9;3,4;33,9;5,8;5,6;1,6;3,0;1,0;-12,9;12490;33010;2,6
00158;1446;2908;19490;37,6;20,1;s;s;s;s;s;s;s;38,1;57,8;51,3;2,9;3,6;40,3;6,4;8,1;1,9;4,5;1,7;-12,6;11360;31220;2,7
00159;1517;3423;22990;49,2;10,0;s;s;s;s;s;s;s;24,9;72,1;64,8;2,5;4,8;29,6;6,6;4,9;2,2;2,0;0,7;-13,2;13830;35600;2,6
00160;1420;3084;23130;51,7;10,5;s;s;s;s;s;s;s;19,6;75,2;67,3;3,2;4,7;27,6;6,4;4,8;2,0;1,9;0,9;-14,0;13740;36700;2,7
00161;1524;3491;22350;46,9;13,1;s;s;s;s;s;s;8,3;25,1;72,2;65,2;2,9;4,1;29,5;5,4;6,2;2,0;3,2;1,0;-13,3;13140;34660;2,6
00162;1740;3631;20150;40,9;17,5;s;s;s;s;s;s;s;31,2;56,1;49,6;2,6;3,9;39,1;9,9;7,7;2,0;4,2;1,5;-12,8;11880;32990;2,8
00163;1979;3967;21760;47,2;13,9;s;s;s;s;s;s;11,2;s;61,1;50,9;2,9;7,3;40,6;7,6;4,5;1,6;2,1;0,8;-13,8;12610;34700;2,8
00164;1835;4070;22870;51,3;7,9;s;s;s;s;s;s;s;s;65,7;58,9;2,3;4,5;36,8;8,0;3,7;1,6;1,6;0,5;-14,2;14630;36390;2,5
00165;1884;4179;25600;51,5;9,3;s;s;s;s;s;s;s;18,6;80,9;73,4;3,4;4,1;23,5;6,8;2,7;1,3;0,9;0,5;-13,9;14240;50610;3,6
00166;1904;4673;25930;63,6;5,5;s;s;s;s;s;s;s;s;73,7;66,4;2,2;5,1;26,4;14,3;3,1;1,6;1,1;0,4;-17,5;16000;43640;2,7
00167;2089;4624;24580;60,7;7,2;s;s;s;s;s;s;s;s;77,7;71,9;2,7;3,1;29,5;5,4;3,3;1,4;1,3;0,6;-15,9;15010;40280;2,7
00251;1996;4695;23100;50,7;9,8;s;s;s;s;s;s;7,1;s;69,6;60,8;2,9;5,9;32,2;8,0;3,9;1,8;1,6;0,5;-13,7;13970;35780;2,6
00252;2632;5117;23860;56,0;10,4;s;s;s;s;s;s;6,5;25,6;46,4;37,5;2,6;6,3;55,3;9,6;3,7;1,1;1,9;0,7;-15,0;13770;39490;2,9
00253;2109;4892;24200;58,5;8,5;s;s;s;s;s;s;s;20,5;74,9;68,4;3,1;3,4;28,4;7,7;4,4;2,0;1,7;0,7;-15,4;14370;36580;2,5
00254;2653;5049;19640;36,6;23,4;s;31,4;26,9;23,1;16,9;s;12,4;41,4;52,5;46,0;3,3;3,2;42,6;6,6;10,2;2,2;5,8;2,2;-11,9;10750;31180;2,9
00255;2689;5194;20350;39,6;18,4;s;s;s;19,6;s;s;10,7;38,4;54,6;47,4;2,8;4,4;43,7;7,4;6,5;1,8;3,4;1,3;-12,2;11350;32320;2,8
00256;2848;6115;21940;44,6;10,6;s;s;s;s;s;s;5,0;22,6;68,3;61,8;2,3;4,2;31,2;8,3;5,3;2,1;2,2;1,0;-13,1;13540;34640;2,6
00257;2883;5972;21000;40,6;13,0;s;s;s;s;s;s;7,4;29,4;57,4;50,7;2,5;4,2;41,1;7,8;5,7;1,9;2,7;1,1;-12,0;12940;33420;2,6
00258;2925;6166;21740;48,5;11,5;s;s;s;s;s;s;5,2;21,9;71,7;64,9;2,8;4,0;30,0;6,2;5,4;1,9;2,5;1,0;-13,3;13410;33630;2,5
00259;3115;6572;18880;36,2;26,4;s;33,0;33,0;26,4;17,1;19,5;14,6;43,4;60,6;51,0;4,1;5,5;35,1;7,3;9,1;2,8;4,3;2,0;-12,1;10130;32860;3,2
00260;3683;7179;21620;43,7;16,0;s;24,4;s;17,9;12,2;s;7,2;31,9;57,4;47,0;2,9;7,5;40,6;9,0;6,6;1,7;3,5;1,4;-13,6;11950;35570;3,0
00261;3412;6952;19990;40,2;19,4;s;26,3;23,9;19,7;12,5;s;10,1;37,5;58,4;51,0;3,1;4,3;39,1;7,7;7,3;2,1;3,7;1,5;-12,5;11200;32530;2,9
00262;3666;7487;19970;39,2;19,9;s;25,0;24,3;18,7;13,8;s;7,7;40,3;60,6;54,4;3,1;3,1;35,9;7,1;8,4;2,3;4,3;1,8;-12,0;11190;31650;2,8
00263;3546;7217;20710;41,4;15,5;s;23,2;17,1;15,4;11,9;s;7,3;32,6;59,9;53,7;2,8;3,4;39,7;5,7;6,5;1,9;3,3;1,3;-11,8;12230;32760;2,7
00264;3624;7983;23790;56,6;11,8;s;s;14,2;12,4;s;s;6,0;27,6;77,6;70,3;4,2;3,1;29,0;4,5;4,3;1,6;1,9;0,8;-15,4;13010;40660;3,1
00265;3487;8270;21800;52,1;14,8;s;22,0;16,3;15,0;s;s;6,1;34,8;74,1;67,0;2,9;4,2;29,0;5,6;5,5;2,4;2,2;0,9;-14,2;12110;35440;2,9
00266;3454;8287;21250;50,8;16,9;s;22,5;19,6;17,0;s;s;9,3;36,6;70,8;63,8;3,2;3,8;29,8;6,7;6,9;2,7;3,0;1,2;-14,2;11670;33900;2,9
00267;4395;8578;21630;44,9;14,2;s;20,4;17,2;13,7;9,5;s;6,5;32,3;57,9;50,1;2,2;5,6;40,6;7,3;6,9;2,0;3,6;1,3;-12,7;12440;33890;2,7
00268;3588;8973;20920;45,5;17,5;s;18,3;20,7;16,2;14,8;s;10,4;34,3;73,5;65,8;3,9;3,8;26,0;5,8;7,3;3,6;2,5;1,2;-12,6;11770;33110;2,8
00269;4054;9397;24240;57,6;9,3;s;s;8,7;s;s;s;5,0;21,1;77,9;71,2;2,8;3,9;26,5;7,4;4,0;1,9;1,5;0,6;-15,8;14080;38660;2,7
00270;4662;9174;20140;36,9;17,4;s;19,3;21,7;15,1;13,1;16,8;8,8;32,9;58,9;51,7;2,6;4,6;38,8;7,1;6,7;1,7;3,5;1,5;-11,5;11850;31780;2,7
00351;5060;10438;21030;42,5;13,6;s;17,6;13,2;14,1;11,0;s;8,0;32,0;62,0;56,3;2,9;2,8;37,0;6,5;6,4;2,1;3,2;1,1;-11,9;12640;31760;2,5
00352;5542;11427;20800;42,2;16,2;s;21,6;16,7;15,5;13,4;14,0;10,0;31,3;58,3;50,2;3,2;4,9;40,7;6,3;6,7;2,0;3,4;1,3;-12,0;11900;32830;2,8
00353;5270;11499;21200;46,4;16,7;25,6;23,1;21,6;13,5;10,2;s;7,1;34,2;68,7;61,4;3,5;3,8;29,5;8,4;7,1;2,5;3,1;1,5;-13,7;11700;34270;2,9
