CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
0051;55082;117371;21620;46,0;15,2;22,5;19,5;18,1;15,3;10,4;9,6;7,1;32,7;63,6;55,5;2,3;5,8;34,7;9,5;5,9;2,1;2,7;1,1;-13,7;12060;34620;2,9
0052;62922;141410;21110;46,0;20,9;27,2;23,0;23,5;21,0;17,9;16,7;9,3;35,8;67,2;56,8;3,6;6,8;29,2;12,4;6,7;2,2;3,1;1,4;-15,5;10780;37350;3,5
0053;126387;281950;21460;48,1;20,3;26,9;23,4;23,9;19,5;16,4;14,1;8,1;36,4;70,8;61,1;3,6;6,1;28,3;9,5;7,1;2,3;3,2;1,6;-15,7;10870;38170;3,5
0054;116117;277780;22830;53,7;13,3;20,0;15,8;15,3;12,0;9,6;8,7;5,7;29,0;74,1;66,9;2,8;4,4;27,0;7,7;6,0;2,4;2,6;1,0;-14,8;12680;36410;2,9
0055;33596;77037;21930;49,3;17,4;21,6;18,8;21,2;15,8;15,6;12,5;9,0;33,7;69,1;61,7;3,2;4,2;30,7;8,9;6,0;2,3;2,5;1,2;-14,7;11640;37120;3,2
0056;32099;62835;21560;47,0;15,9;24,8;20,9;19,2;17,0;11,7;10,9;10,1;34,0;58,3;46,6;2,5;9,2;41,6;8,7;5,5;1,6;2,9;1,0;-14,1;11910;35840;3,0
0057;57679;141318;23000;54,5;13,6;16,6;16,0;16,4;13,4;9,8;8,7;6,4;32,2;74,6;66,9;3,1;4,6;28,1;6,6;5,7;2,6;2,2;0,9;-15,0;12550;37020;2,9
0058;34878;74681;21020;45,2;14,6;24,5;18,1;16,8;14,0;10,9;10,8;7,7;30,8;62,9;55,7;2,5;4,7;36,7;7,7;6,0;1,8;3,1;1,1;-13,3;12430;33190;2,7
0059;72951;160016;23200;53,1;12,0;17,7;14,4;13,8;11,5;8,9;8,9;5,6;26,2;69,9;61,2;2,6;6,1;31,8;8,7;4,8;2,0;1,9;0,9;-15,2;13100;38220;2,9
0060;73804;147525;21500;46,6;15,8;25,3;20,1;18,3;15,8;12,1;10,4;8,7;32,9;61,0;53,8;2,2;5,0;39,2;6,8;6,5;1,8;3,5;1,2;-13,5;11970;34350;2,9
0061;29033;60962;21820;48,2;13,5;20,2;18,0;15,4;13,9;9,8;9,0;7,7;29,1;62,9;53,3;2,8;6,8;37,8;8,0;5,1;1,9;2,3;0,9;-13,8;12660;34960;2,8
0062;38072;83643;21520;44,4;12,9;18,3;15,3;14,0;12,3;9,5;12,3;8,5;28,1;66,0;57,9;3,0;5,1;33,9;7,2;5,6;2,2;2,5;0,9;-12,7;12880;33300;2,6
0063;37087;73163;20990;43,4;16,4;19,6;16,7;18,2;16,2;14,1;17,3;12,5;28,4;59,6;49,1;2,3;8,2;39,6;8,6;5,0;1,5;2,6;0,9;-12,8;11920;33660;2,8
0064;29139;59556;21160;45,5;19,6;27,3;25,9;23,9;20,4;15,4;13,8;12,6;32,6;56,8;45,0;3,3;8,5;39,9;12,5;5,5;1,6;2,7;1,2;-14,7;10940;37250;3,4
0201;23617;49035;18410;31,1;30,2;45,7;41,6;29,2;28,5;26,1;33,2;23,7;39,0;68,5;59,9;3,4;5,2;26,1;4,4;13,3;2,5;8,9;1,9;-12,3;9090;36520;4,0
0202;62381;126450;20750;39,9;24,7;44,8;30,4;25,6;23,3;20,2;25,3;15,2;32,0;74,1;65,9;3,2;5,0;24,9;5,0;10,6;2,2;6,5;1,9;-14,6;9620;40900;4,3
0203;6758;13912;16570;20,3;35,9;s;51,5;36,7;32,5;30,6;40,2;28,0;44,1;60,5;51,9;3,8;4,8;29,3;2,7;16,9;2,7;11,9;2,3;-9,4;8870;29390;3,3
0204;8873;19014;19350;33,4;27,8;52,0;41,4;29,9;25,9;22,5;27,7;18,2;39,2;67,8;58,3;3,2;6,3;27,8;5,7;11,8;2,3;7,6;1,9;-13,1;9200;38500;4,2
0205;20582;45011;18690;31,2;29,3;53,7;38,8;32,3;28,0;24,0;32,4;23,5;38,4;64,9;56,5;3,6;4,8;24,1;12,6;11,8;2,2;8,0;1,6;-13,4;9150;36410;4,0
0206;25409;53344;21180;39,6;23,9;43,2;30,0;23,3;23,2;19,8;28,4;16,5;34,1;73,6;64,3;3,3;6,0;25,3;5,5;9,6;2,0;6,1;1,5;-14,0;9850;40550;4,1
0401;46947;132071;14970;23,7;44,3;62,6;52,4;45,0;38,7;35,3;42,8;29,6;57,9;70,3;57,9;4,7;7,7;14,1;4,6;21,9;5,8;12,0;4,1;-10,9;8300;32340;3,9
0402;81285;219428;18090;34,2;32,1;45,7;35,2;31,5;29,6;28,0;36,5;24,3;40,5;78,8;65,9;4,9;8,0;14,5;6,7;14,0;3,6;8,1;2,3;-14,0;9200;40360;4,4
0403;82931;209208;18360;35,9;33,0;49,2;38,8;33,4;29,5;25,5;30,6;16,1;42,7;77,7;66,6;4,1;7,0;16,1;6,8;14,1;3,7;7,4;3,0;-14,7;9130;41120;4,5
0404;123233;323469;16590;28,5;37,5;51,5;41,1;37,5;35,3;31,6;39,1;28,4;48,3;71,8;58,7;5,2;7,9;16,9;6,6;16,9;4,1;9,8;3,0;-12,2;8670;35900;4,1
1101;245814;622321;25170;64,8;13,4;19,6;14,8;15,2;12,6;10,1;7,9;5,0;27,5;85,6;78,9;3,2;3,5;21,9;5,9;4,8;2,2;1,7;0,9;-18,2;12440;42460;3,4
1102;30521;74931;24040;58,0;10,6;17,3;12,6;11,3;9,3;8,3;8,2;5,6;25,0;78,2;70,2;3,0;5,0;24,9;7,5;4,9;2,2;2,0;0,7;-15,5;13570;38160;2,8
1103;44203;108530;25550;65,0;9,8;15,0;12,1;11,5;9,0;6,8;5,2;5,0;24,7;79,9;73,8;2,5;3,6;25,4;7,9;4,2;2,0;1,6;0,6;-17,4;13940;41380;3,0
1104;233766;599810;23560;61,1;16,0;21,5;18,6;18,8;15,1;11,2;7,7;5,5;30,8;82,7;76,6;3,1;3,0;22,6;5,8;6,0;2,7;2,2;1,1;-17,1;11730;39810;3,4
1105;83429;195952;24650;60,6;12,8;21,8;16,5;16,5;11,5;8,0;7,2;5,5;28,9;75,2;67,2;2,9;5,1;28,7;10,0;4,5;1,8;1,9;0,8;-18,4;12740;43570;3,4
1106;185198;466583;25600;66,3;11,8;16,3;13,2;12,9;11,1;9,3;8,2;5,0;24,2;86,6;79,9;3,1;3,6;20,3;6,7;4,6;2,1;1,7;0,8;-18,2;13060;42560;3,3
1107;81004;204912;24550;61,5;12,0;17,9;13,5;12,9;10,5;10,0;8,7;5,0;27,7;83,5;76,9;3,0;3,6;20,6;7,2;5,2;2,4;2,0;0,8;-16,5;12960;39570;3,1
1108;78903;193467;23820;59,5;14,5;22,1;17,2;17,1;13,1;9,6;7,6;5,0;30,5;81,0;74,5;3,0;3,5;23,6;6,1;6,0;2,6;2,3;1,1;-16,7;12140;39470;3,3
1109;2851757;6346988;25510;64,4;17,8;20,6;16,7;19,8;18,8;16,4;12,5;6,1;26,2;87,7;78,2;3,2;6,3;18,8;13,8;4,1;1,4;1,8;0,9;-24,4;10900;56520;5,2
1110;23677;56987;22990;54,3;12,5;17,8;15,2;14,1;12,5;9,3;7,6;6,7;27,8;74,5;65,8;2,8;5,9;27,7;7,8;5,3;2,3;2,2;0,8;-15,3;12890;37150;2,9
1111;32950;79474;29590;73,7;5,8;13,6;7,4;6,4;5,1;5,0;5,0;5,0;15,7;81,6;75,4;2,3;3,9;27,0;10,0;2,5;1,3;0,8;0,4;-21,1;16600;50030;3,0
1112;336492;930634;20830;54,0;22,9;25,7;25,1;27,2;22,5;17,9;13,5;10,9;36,3;81,3;74,2;3,6;3,5;20,7;6,1;7,9;3,3;3,1;1,5;-16,0;10120;37350;3,7
1113;220957;545750;26710;68,5;11,7;17,8;14,0;13,9;10,4;7,9;6,0;5,0;24,8;85,9;80,1;2,7;3,1;22,6;7,5;4,0;1,8;1,5;0,7;-20,0;13050;46500;3,6
1114;322785;810385;26820;66,9;12,5;17,5;14,4;14,4;11,9;9,6;7,5;5,0;25,4;87,7;80,9;3,0;3,8;21,5;9,5;3,8;1,7;1,4;0,7;-22,5;12750;52470;4,1
1115;244986;598426;29240;72,3;8,9;15,8;10,5;9,9;8,2;6,4;5,0;5,0;18,7;86,9;80,7;2,6;3,6;23,2;9,6;3,0;1,4;1,0;0,6;-22,7;14430;53770;3,7
2401;77345;170133;22980;53,6;13,2;20,9;17,8;15,7;12,2;8,7;7,8;5,2;31,4;69,2;61,7;2,7;4,8;33,1;7,3;5,4;2,0;2,4;1,0;-15,0;12630;37530;3,0
2402;92704;193721;22510;51,4;14,1;22,7;17,5;16,3;12,9;10,4;9,8;6,5;31,5;67,4;60,1;2,3;5,0;34,1;7,1;6,1;1,9;3,0;1,2;-14,7;12430;36610;2,9
2403;90693;208238;24310;59,2;10,2;16,5;12,5;11,2;9,6;7,2;6,5;5,0;24,2;76,2;68,7;2,6;4,9;27,5;7,9;4,6;2,0;1,8;0,8;-16,2;13770;39260;2,9
2404;25383;54164;21910;48,4;13,4;21,6;17,1;16,3;13,1;9,5;8,8;7,2;30,9;62,6;53,2;2,3;7,1;36,4;9,7;5,2;2,1;2,2;0,9;-13,9;12680;35130;2,8
